source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
25452483,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_100yr,4.14e+06,,,1350,MW,0.535,6.327e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,1350,MW,0.473,5.594e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2,3.661e+06,0.654,T of CO2 per MWh,1350,MW,0.473,5.594e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,1350,MW,0.473,5.594e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,3.661e+06,,,1350,MW,0.473,5.594e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,3.661e+06,,,1350,MW,0.473,5.594e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25455259,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,660,MW,0.376,2.174e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2,5.285e+06,2.431,T of CO2 per MWh,660,MW,0.376,2.174e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,660,MW,0.376,2.174e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_20yr,5.285e+06,,,660,MW,0.376,2.174e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
